model_key,seed,represented_base,represented_sft,represented_delta,transfer_base,transfer_sft,transfer_delta
qwen25_15b,42,0.6334479120807383,0.9903671353161553,0.356919223235417,0.8187372518913454,0.8269521860956635,0.00821493420431807
qwen25_15b,43,0.6334479120807383,0.986967573271223,0.3535196611904847,0.8187372518913454,0.7926658603780143,-0.026071391513331044
qwen25_15b,44,0.6334479120807383,0.984071446911377,0.3506235348306388,0.8187372518913454,0.7642869929315408,-0.0544502589598046
qwen25_15b,45,0.6334479120807383,0.9892457075804489,0.3557977954997107,0.8187372518913454,0.774951961882967,-0.043785290008378386
qwen25_15b,46,0.6334479120807383,0.9885324328121584,0.35508452073142016,0.8187372518913454,0.7401081001032719,-0.0786291517880735
smollm2_17b,42,0.4524256481766224,0.9827935055492137,0.5303678573725914,0.79044446833096,0.870904446128592,0.08045997779763192
smollm2_17b,43,0.4524256481766224,0.9796883843589139,0.5272627361822915,0.79044446833096,0.8623957634543438,0.07195129512338372
smollm2_17b,44,0.4524256481766224,0.977760623345044,0.5253349751684215,0.79044446833096,0.8154672613049574,0.025022792973997343
smollm2_17b,45,0.4524256481766224,0.9833596573272493,0.5309340091506269,0.79044446833096,0.8142477630767202,0.02380329474576015
smollm2_17b,46,0.4524256481766224,0.9796210849665679,0.5271954367899454,0.79044446833096,0.7891295125484237,-0.0013149557825363756
smollm3_3b,42,0.6620907798065075,0.9666311556169512,0.3045403758104437,0.9102361809080601,0.82906862639979,-0.08116755450827018
smollm3_3b,43,0.6620907798065075,0.987384949927114,0.32529417012060646,0.9102361809080601,0.8177388190940792,-0.09249736181398094
smollm3_3b,44,0.6620907798065075,0.9672030273811192,0.30511224757461164,0.9102361809080601,0.847324986734351,-0.06291119417370916
smollm3_3b,45,0.6620907798065075,0.9766610264393186,0.3145702466328111,0.9102361809080601,0.8179789193709068,-0.0922572615371533
smollm3_3b,46,0.6620907798065075,0.9776750504739228,0.31558427066741523,0.9102361809080601,0.8047765121017576,-0.10545966880630253
qwen3_4b,42,0.8855323071198766,0.9808409175705523,0.09530861045067562,0.9437885762006171,0.8215433263667974,-0.12224524983381968
qwen3_4b,43,0.8855323071198766,0.979167536968642,0.09363522984876538,0.9437885762006171,0.7902029307055041,-0.153585645495113
qwen3_4b,44,0.8855323071198766,0.9893813172673073,0.10384901014743064,0.9437885762006171,0.8489109285427612,-0.09487764765785589
qwen3_4b,45,0.8855323071198766,0.985242121153183,0.09970981403330637,0.9437885762006171,0.7147358866200326,-0.22905268958058445
qwen3_4b,46,0.8855323071198766,0.9836330303711751,0.09810072325129848,0.9437885762006171,0.7940566236867823,-0.14973195251383475
